,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
0,South Africa,514036,field,5 wickets,South Africa,1/14/2012 0:00,East London,South Africa,Sri Lanka,1,0,16.795,5.903260042
1,South Africa,514038,bat,5 wickets,Sri Lanka,1/20/2012 0:00,Kimberley,South Africa,Sri Lanka,1,0,4.058062016,5.903260042
2,South Africa,514035,bat,258 runs,South Africa,1/11/2012 0:00,Paarl,South Africa,Sri Lanka,0,0,15.27424242,5.903260042
3,Sri Lanka,514039,bat,2 wickets,Sri Lanka,1/22/2012 0:00,Johannesburg,South Africa,Sri Lanka,0.666666667,1,3.781395349,5.903260042
4,Zimbabwe,520592,bat,90 runs,New Zealand,2/3/2012 0:00,Dunedin,New Zealand,Zimbabwe,0.75,0,17.87330162,6.271260042
5,New Zealand,520594,bat,202 runs,New Zealand,2/9/2012 0:00,Napier,New Zealand,Zimbabwe,0.833333333,0.333333333,27.1372093,6.271260042
6,Sri Lanka,518957,field,4 wickets,India,2/8/2012 0:00,Perth,India,Sri Lanka,0.5,0.333333333,8.250757576,5.554955603
7,Australia,518959,bat,4 wickets,India,2/12/2012 0:00,Adelaide,Australia,India,0,0.666666667,4.923062016,0.571661734
8,Zimbabwe,520593,bat,141 runs,New Zealand,2/6/2012 0:00,Whangarei,New Zealand,Zimbabwe,0.8,0,19.71360465,6.271260042
10,England,531631,bat,130 runs,England,2/13/2012 0:00,Abu Dhabi,England,Pakistan,0.6,0,-3.702575758,3.744181818
11,Sri Lanka,518958,bat,5 runs,Australia,2/10/2012 0:00,Perth,Australia,Sri Lanka,0.571428571,0.5,20.81848485,6.126617336
12,England,531632,bat,20 runs,England,2/15/2012 0:00,Abu Dhabi,England,Pakistan,0.666666667,0.25,3.41969697,3.744181818
13,Pakistan,531633,field,9 wickets,England,2/18/2012 0:00,Dubai (DSC),England,Pakistan,0.714285714,0.333333333,-10.98939394,3.744181818
16,Australia,518962,bat,110 runs,Australia,2/19/2012 0:00,Brisbane,Australia,India,0,0.5,14.90897111,0.571661734
17,Sri Lanka,518963,field,51 runs,Sri Lanka,2/21/2012 0:00,Brisbane,India,Sri Lanka,0.5,0.4,-4.735789288,5.554955603
18,West Indies,661689,bat,159 runs,New Zealand,1/1/2014 0:00,Queenstown,New Zealand,West Indies,0.2,0,16.76830162,0.652084567
19,India,667641,field,24 runs,New Zealand,1/19/2014 0:00,Napier,India,New Zealand,0.857142857,0.666666667,-16.69087738,7.130980973
20,England,636159,field,6 wickets,Australia,1/12/2014 0:00,Melbourne,Australia,England,0.5,0.285714286,-3.681969697,7.767454545
21,New Zealand,661693,field,203 runs,West Indies,1/8/2014 0:00,Hamilton,New Zealand,West Indies,0.333333333,0.666666667,24.29166667,0.652084567
22,Pakistan,531634,field,4 wickets,England,2/21/2012 0:00,Dubai (DSC),England,Pakistan,0.75,0.428571429,2.975877378,3.744181818
23,England,636160,field,1 wicket,Australia,1/17/2014 0:00,Brisbane,Australia,England,0.5,0.375,10.13984848,7.767454545
24,England,636161,field,7 wickets,Australia,1/19/2014 0:00,Sydney,Australia,England,0.5,0.6,4.490606061,7.767454545
27,Australia,636162,field,57 runs,England,1/24/2014 0:00,Perth,Australia,England,0.5,0.428571429,3.761212121,7.767454545
29,India,667647,bat,7 wickets,New Zealand,1/28/2014 0:00,Hamilton,India,New Zealand,0.75,0.5,-22.44324524,7.130980973
30,Australia,636163,bat,5 runs,Australia,1/26/2014 0:00,Adelaide,Australia,England,0.5,0.428571429,11.49136364,7.767454545
33,India,667649,field,87 runs,New Zealand,1/31/2014 0:00,Wellington,India,New Zealand,0.666666667,0.666666667,-22.53481677,7.130980973
