Over,ScoreA,ScoreB
1,1/0,1/0
2,9/0,5/0
3,21/0,13/0
4,21/0,18/0
5,25/2,22/0
6,25/2,27/0
7,31/2,27/2
8,32/3,31/2
9,38/3,36/2
10,43/3,37/2
11,43/3,38/2
12,51/3,42/2
13,56/3,46/3
14,62/3,46/3
15,66/3,49/3
16,69/3,56/3
17,79/3,62/3
18,82/3,66/3
19,85/3,69/3
20,88/4,72/4
21,93/4,76/4
22,95/4,80/4
23,102/4,84/4
24,110/4,85/4
25,114/4,93/4
26,117/4,96/4
27,123/4,99/5
28,132/4,100/5
29,139/4,102/5
30,143/4,109/5
31,152/4,113/5
32,154/5,124/5
33,155/6,127/5
34,157/6,132/5
35,161/6,135/5
36,169/6,136/5
37,177/6,138/5
38,185/6,144/5
39,187/7,150/6
40,187/7,156/6
41,191/7,160/7
42,196/7,169/7
43,201/7,175/7
44,213/7,184/7
45,215/8,186/8
46,218/8,190/9
47,219/8,190/10
48,228/8,nil
49,235/8,nil
50,241/9,nil
